"CountryName","Indicator","Date","value"
"East Asia & Pacific (excluding high income)","GDP per capita (current US$)","1960",89.5261927065155
"Early-demographic dividend","GDP per capita (current US$)","1960",156.241440108246
"East Asia & Pacific","GDP per capita (current US$)","1960",147.086415430923
"Europe & Central Asia (excluding high income)","GDP per capita (current US$)","1960",
"Europe & Central Asia","GDP per capita (current US$)","1960",648.002018943494
"Ecuador","GDP per capita (current US$)","1960",222.266960557926
"Egypt, Arab Rep.","GDP per capita (current US$)","1960",
"Euro area","GDP per capita (current US$)","1960",924.617968828923
"Eritrea","GDP per capita (current US$)","1960",
"Spain","GDP per capita (current US$)","1960",396.392253337614
"Estonia","GDP per capita (current US$)","1960",
"Ethiopia","GDP per capita (current US$)","1960",
"European Union","GDP per capita (current US$)","1960",876.536619583036
"Fragile and conflict affected situations","GDP per capita (current US$)","1960",
"Finland","GDP per capita (current US$)","1960",1179.35301099994
"Fiji","GDP per capita (current US$)","1960",285.544678120519
"France","GDP per capita (current US$)","1960",1338.29960630568
"Faroe Islands","GDP per capita (current US$)","1960",
"Micronesia, Fed. Sts.","GDP per capita (current US$)","1960",
"Gabon","GDP per capita (current US$)","1960",283.397626089531
"United Kingdom","GDP per capita (current US$)","1960",1380.30624126257
"Georgia","GDP per capita (current US$)","1960",
"Ghana","GDP per capita (current US$)","1960",182.979246224725
"Gibraltar","GDP per capita (current US$)","1960",
"Guinea","GDP per capita (current US$)","1960",
"Gambia, The","GDP per capita (current US$)","1960",
"Guinea-Bissau","GDP per capita (current US$)","1960",
"Equatorial Guinea","GDP per capita (current US$)","1960",
"Greece","GDP per capita (current US$)","1960",533.686381232649
"Grenada","GDP per capita (current US$)","1960",
"Greenland","GDP per capita (current US$)","1960",
"Guatemala","GDP per capita (current US$)","1960",252.83730925451
"Guam","GDP per capita (current US$)","1960",
"Guyana","GDP per capita (current US$)","1960",301.681338562241
"High income","GDP per capita (current US$)","1960",1398.59072810445
"Hong Kong SAR, China","GDP per capita (current US$)","1960",429.442874392053
"Honduras","GDP per capita (current US$)","1960",167.629460234636
"Heavily indebted poor countries (HIPC)","GDP per capita (current US$)","1960",108.108281418858
"Croatia","GDP per capita (current US$)","1960",
"Haiti","GDP per capita (current US$)","1960",
"Hungary","GDP per capita (current US$)","1960",
"IBRD only","GDP per capita (current US$)","1960",155.787642238889
"IDA & IBRD total","GDP per capita (current US$)","1960",144.61288785776
"IDA total","GDP per capita (current US$)","1960",99.5775538522432
"IDA blend","GDP per capita (current US$)","1960",96.4638306877717
"Indonesia","GDP per capita (current US$)","1960",
"IDA only","GDP per capita (current US$)","1960",102.857596746935
"Isle of Man","GDP per capita (current US$)","1960",
"India","GDP per capita (current US$)","1960",83.7946836721907
"Not classified","GDP per capita (current US$)","1960",
"Ireland","GDP per capita (current US$)","1960",685.61471237976
"Iran, Islamic Rep.","GDP per capita (current US$)","1960",191.680859958946
"Iraq","GDP per capita (current US$)","1960",231.025680627323
"Iceland","GDP per capita (current US$)","1960",1414.98226940621
"Israel","GDP per capita (current US$)","1960",1229.1747476372
"Italy","GDP per capita (current US$)","1960",804.492623346178
"Jamaica","GDP per capita (current US$)","1960",428.625101621802
"Jordan","GDP per capita (current US$)","1960",
"Japan","GDP per capita (current US$)","1960",478.995340162869
"Kazakhstan","GDP per capita (current US$)","1960",
"Kenya","GDP per capita (current US$)","1960",97.6215305786395
"Kyrgyz Republic","GDP per capita (current US$)","1960",
"Cambodia","GDP per capita (current US$)","1960",111.342479726807
"Kiribati","GDP per capita (current US$)","1960",
"St. Kitts and Nevis","GDP per capita (current US$)","1960",241.548598784497
"Korea, Rep.","GDP per capita (current US$)","1960",155.596857664865
"Kuwait","GDP per capita (current US$)","1960",
"Latin America & Caribbean (excluding high income)","GDP per capita (current US$)","1960",355.489659332913
"Lao PDR","GDP per capita (current US$)","1960",
"Lebanon","GDP per capita (current US$)","1960",
"Liberia","GDP per capita (current US$)","1960",170.037685863071
"Libya","GDP per capita (current US$)","1960",
"St. Lucia","GDP per capita (current US$)","1960",
"Latin America & Caribbean","GDP per capita (current US$)","1960",368.454946337983
"Least developed countries: UN classification","GDP per capita (current US$)","1960",
"Low income","GDP per capita (current US$)","1960",
"Liechtenstein","GDP per capita (current US$)","1960",
"Sri Lanka","GDP per capita (current US$)","1960",142.469073320517
"Lower middle income","GDP per capita (current US$)","1960",97.3082916759326
"Low & middle income","GDP per capita (current US$)","1960",142.120806921527
"Lesotho","GDP per capita (current US$)","1960",40.6140721693278
"Late-demographic dividend","GDP per capita (current US$)","1960",155.4925140607
"Lithuania","GDP per capita (current US$)","1960",
"Luxembourg","GDP per capita (current US$)","1960",2242.0158166161
"Latvia","GDP per capita (current US$)","1960",
"Macao SAR, China","GDP per capita (current US$)","1960",
"St. Martin (French part)","GDP per capita (current US$)","1960",
"Morocco","GDP per capita (current US$)","1960",164.800792371249
"Monaco","GDP per capita (current US$)","1960",
"Moldova","GDP per capita (current US$)","1960",
"Madagascar","GDP per capita (current US$)","1960",131.99308778984
"Maldives","GDP per capita (current US$)","1960",
"Middle East & North Africa","GDP per capita (current US$)","1960",
"Mexico","GDP per capita (current US$)","1960",342.016267882471
"Marshall Islands","GDP per capita (current US$)","1960",
"Middle income","GDP per capita (current US$)","1960",145.923913537783
"Macedonia, FYR","GDP per capita (current US$)","1960",
"Mali","GDP per capita (current US$)","1960",
"Malta","GDP per capita (current US$)","1960",
"Myanmar","GDP per capita (current US$)","1960",
"Middle East & North Africa (excluding high income)","GDP per capita (current US$)","1960",
"Montenegro","GDP per capita (current US$)","1960",
"Mongolia","GDP per capita (current US$)","1960",
"Northern Mariana Islands","GDP per capita (current US$)","1960",
"Mozambique","GDP per capita (current US$)","1960",
"Mauritania","GDP per capita (current US$)","1960",107.91477526747
"Mauritius","GDP per capita (current US$)","1960",
"Malawi","GDP per capita (current US$)","1960",45.0339773199284
"Malaysia","GDP per capita (current US$)","1960",234.805522208148
"North America","GDP per capita (current US$)","1960",2942.62886994412
"Namibia","GDP per capita (current US$)","1960",
"New Caledonia","GDP per capita (current US$)","1960",
"Niger","GDP per capita (current US$)","1960",132.400236735014
"Nigeria","GDP per capita (current US$)","1960",92.8100522612362
"Nicaragua","GDP per capita (current US$)","1960",126.136908330591
"Netherlands","GDP per capita (current US$)","1960",1068.78458723735
"Norway","GDP per capita (current US$)","1960",1441.75566002633
"Nepal","GDP per capita (current US$)","1960",50.5456094236458
"Nauru","GDP per capita (current US$)","1960",
"New Zealand","GDP per capita (current US$)","1960",2312.94999239859
"OECD members","GDP per capita (current US$)","1960",1357.96540065508
"Oman","GDP per capita (current US$)","1960",
"Other small states","GDP per capita (current US$)","1960",
"Pakistan","GDP per capita (current US$)","1960",82.5407816091576
"Panama","GDP per capita (current US$)","1960",474.124585901148
"Peru","GDP per capita (current US$)","1960",255.618268183653
"Philippines","GDP per capita (current US$)","1960",254.427090672771
"Palau","GDP per capita (current US$)","1960",
"Papua New Guinea","GDP per capita (current US$)","1960",117.184073150924
"Poland","GDP per capita (current US$)","1960",
"Pre-demographic dividend","GDP per capita (current US$)","1960",55.4472482391103
"Puerto Rico","GDP per capita (current US$)","1960",717.514843087362
"Korea, Dem. People’s Rep.","GDP per capita (current US$)","1960",
"Portugal","GDP per capita (current US$)","1960",360.499298506858
"Paraguay","GDP per capita (current US$)","1960",
"West Bank and Gaza","GDP per capita (current US$)","1960",
"Pacific island small states","GDP per capita (current US$)","1960",
"Post-demographic dividend","GDP per capita (current US$)","1960",1383.91615217502
"French Polynesia","GDP per capita (current US$)","1960",
"Qatar","GDP per capita (current US$)","1960",
"Romania","GDP per capita (current US$)","1960",
"Russian Federation","GDP per capita (current US$)","1960",
"Rwanda","GDP per capita (current US$)","1960",40.5669361128838
"South Asia","GDP per capita (current US$)","1960",83.3498411276828
"Saudi Arabia","GDP per capita (current US$)","1960",
"Sudan","GDP per capita (current US$)","1960",124.715867553402
"Senegal","GDP per capita (current US$)","1960",249.507391629204
"Singapore","GDP per capita (current US$)","1960",427.880407170241
"Solomon Islands","GDP per capita (current US$)","1960",
"Sierra Leone","GDP per capita (current US$)","1960",147.59560158502
"El Salvador","GDP per capita (current US$)","1960",
"San Marino","GDP per capita (current US$)","1960",
"Somalia","GDP per capita (current US$)","1960",
"Serbia","GDP per capita (current US$)","1960",
"Sub-Saharan Africa (excluding high income)","GDP per capita (current US$)","1960",132.203337592792
"South Sudan","GDP per capita (current US$)","1960",
"Sub-Saharan Africa","GDP per capita (current US$)","1960",132.22562686232
"Small states","GDP per capita (current US$)","1960",
"Sao Tome and Principe","GDP per capita (current US$)","1960",
"Suriname","GDP per capita (current US$)","1960",323.651938807885
"Slovak Republic","GDP per capita (current US$)","1960",
"Slovenia","GDP per capita (current US$)","1960",
"Sweden","GDP per capita (current US$)","1960",1983.10654403097
"Swaziland","GDP per capita (current US$)","1960",100.43769768845
"Sint Maarten (Dutch part)","GDP per capita (current US$)","1960",
"Seychelles","GDP per capita (current US$)","1960",288.058159419365
"Syrian Arab Republic","GDP per capita (current US$)","1960",186.750724384506
"Turks and Caicos Islands","GDP per capita (current US$)","1960",
"Chad","GDP per capita (current US$)","1960",104.437202886472
"East Asia & Pacific (IDA & IBRD countries)","GDP per capita (current US$)","1960",90.489204921114
"Europe & Central Asia (IDA & IBRD countries)","GDP per capita (current US$)","1960",
"Togo","GDP per capita (current US$)","1960",76.6384541690086
"Thailand","GDP per capita (current US$)","1960",100.767585328907
"Tajikistan","GDP per capita (current US$)","1960",
"Turkmenistan","GDP per capita (current US$)","1960",
"Latin America & the Caribbean (IDA & IBRD countries)","GDP per capita (current US$)","1960",363.033841870832
"Timor-Leste","GDP per capita (current US$)","1960",
"Middle East & North Africa (IDA & IBRD countries)","GDP per capita (current US$)","1960",
"Tonga","GDP per capita (current US$)","1960",
"South Asia (IDA & IBRD)","GDP per capita (current US$)","1960",83.3498411276829
"Sub-Saharan Africa (IDA & IBRD countries)","GDP per capita (current US$)","1960",132.22562686232
"Trinidad and Tobago","GDP per capita (current US$)","1960",631.328371229215
"Tunisia","GDP per capita (current US$)","1960",
"Turkey","GDP per capita (current US$)","1960",507.927470613635
"Tuvalu","GDP per capita (current US$)","1960",
"Tanzania","GDP per capita (current US$)","1960",
"Uganda","GDP per capita (current US$)","1960",62.3151498596957
"Ukraine","GDP per capita (current US$)","1960",
"Upper middle income","GDP per capita (current US$)","1960",184.861618418442
"Uruguay","GDP per capita (current US$)","1960",489.350135974915
"United States","GDP per capita (current US$)","1960",3007.12344537862
"Uzbekistan","GDP per capita (current US$)","1960",
"St. Vincent and the Grenadines","GDP per capita (current US$)","1960",161.419155243924
"Venezuela, RB","GDP per capita (current US$)","1960",1072.43225984285
"British Virgin Islands","GDP per capita (current US$)","1960",
"Virgin Islands (U.S.)","GDP per capita (current US$)","1960",756.25
"Vietnam","GDP per capita (current US$)","1960",
"Vanuatu","GDP per capita (current US$)","1960",
"World","GDP per capita (current US$)","1960",450.522013332981
"Samoa","GDP per capita (current US$)","1960",
"Kosovo","GDP per capita (current US$)","1960",
"Yemen, Rep.","GDP per capita (current US$)","1960",
"South Africa","GDP per capita (current US$)","1960",423.254819703243
"Zambia","GDP per capita (current US$)","1960",233.802227581055
"Zimbabwe","GDP per capita (current US$)","1960",280.618592417099
"Aruba","GDP per capita (current US$)","1961",
"Afghanistan","GDP per capita (current US$)","1961",59.8900370439272
"Angola","GDP per capita (current US$)","1961",
"Albania","GDP per capita (current US$)","1961",
"Andorra","GDP per capita (current US$)","1961",
"Arab World","GDP per capita (current US$)","1961",
"United Arab Emirates","GDP per capita (current US$)","1961",
"Argentina","GDP per capita (current US$)","1961",
"Armenia","GDP per capita (current US$)","1961",
"American Samoa","GDP per capita (current US$)","1961",
"Antigua and Barbuda","GDP per capita (current US$)","1961",
"Australia","GDP per capita (current US$)","1961",1873.45009156626
"Austria","GDP per capita (current US$)","1961",1031.8150043291
"Azerbaijan","GDP per capita (current US$)","1961",
"Burundi","GDP per capita (current US$)","1961",71.4694334374862
"Belgium","GDP per capita (current US$)","1961",1350.19767333123
"Benin","GDP per capita (current US$)","1961",95.5669226667227
"Burkina Faso","GDP per capita (current US$)","1961",71.5582093322122
"Bangladesh","GDP per capita (current US$)","1961",97.1411474898997
"Bulgaria","GDP per capita (current US$)","1961",
"Bahrain","GDP per capita (current US$)","1961",
"Bahamas, The","GDP per capita (current US$)","1961",1651.47547707967
"Bosnia and Herzegovina","GDP per capita (current US$)","1961",
"Belarus","GDP per capita (current US$)","1961",
"Belize","GDP per capita (current US$)","1961",316.410288303035
"Bermuda","GDP per capita (current US$)","1961",1961.5381692465
"Bolivia","GDP per capita (current US$)","1961",162.695618994955
"Brazil","GDP per capita (current US$)","1961",203.955154168234
"Barbados","GDP per capita (current US$)","1961",
"Brunei Darussalam","GDP per capita (current US$)","1961",
"Bhutan","GDP per capita (current US$)","1961",
"Botswana","GDP per capita (current US$)","1961",61.319061316097
"Central African Republic","GDP per capita (current US$)","1961",80.5206966828861
"Canada","GDP per capita (current US$)","1961",2231.2938237478
"Central Europe and the Baltics","GDP per capita (current US$)","1961",
"Switzerland","GDP per capita (current US$)","1961",1971.31632279228
"Channel Islands","GDP per capita (current US$)","1961",
"Chile","GDP per capita (current US$)","1961",575.324300567852
"China","GDP per capita (current US$)","1961",75.8058379259965
"Cote d'Ivoire","GDP per capita (current US$)","1961",171.635970717262
"Cameroon","GDP per capita (current US$)","1961",120.119883401261
"Congo, Dem. Rep.","GDP per capita (current US$)","1961",197.391174886989
"Congo, Rep.","GDP per capita (current US$)","1961",145.846824954496
"Colombia","GDP per capita (current US$)","1961",268.097402279654
"Comoros","GDP per capita (current US$)","1961",
"Cabo Verde","GDP per capita (current US$)","1961",
"Costa Rica","GDP per capita (current US$)","1961",354.814447735234
"Caribbean small states","GDP per capita (current US$)","1961",485.52116441112
"Cuba","GDP per capita (current US$)","1961",
"Curacao","GDP per capita (current US$)","1961",
"Cayman Islands","GDP per capita (current US$)","1961",
"Cyprus","GDP per capita (current US$)","1961",
"Czech Republic","GDP per capita (current US$)","1961",
"Germany","GDP per capita (current US$)","1961",
"Djibouti","GDP per capita (current US$)","1961",
"Dominica","GDP per capita (current US$)","1961",
"Denmark","GDP per capita (current US$)","1961",1503.53701342816
"Dominican Republic","GDP per capita (current US$)","1961",192.026654148682
"Algeria","GDP per capita (current US$)","1961",213.485905063471
"East Asia & Pacific (excluding high income)","GDP per capita (current US$)","1961",78.6506146361816
"Early-demographic dividend","GDP per capita (current US$)","1961",153.638826822203
"East Asia & Pacific","GDP per capita (current US$)","1961",147.048713562442
"Europe & Central Asia (excluding high income)","GDP per capita (current US$)","1961",
"Europe & Central Asia","GDP per capita (current US$)","1961",681.922606526604
"Ecuador","GDP per capita (current US$)","1961",209.351835537587
"Egypt, Arab Rep.","GDP per capita (current US$)","1961",
"Euro area","GDP per capita (current US$)","1961",1008.52930432101
"Eritrea","GDP per capita (current US$)","1961",
"Spain","GDP per capita (current US$)","1961",450.053289246968
"Estonia","GDP per capita (current US$)","1961",
"Ethiopia","GDP per capita (current US$)","1961",
"European Union","GDP per capita (current US$)","1961",946.207532546664
"Fragile and conflict affected situations","GDP per capita (current US$)","1961",
"Finland","GDP per capita (current US$)","1961",1327.427224366
"Fiji","GDP per capita (current US$)","1961",287.331966719404
"France","GDP per capita (current US$)","1961",1440.55433032888
"Faroe Islands","GDP per capita (current US$)","1961",
"Micronesia, Fed. Sts.","GDP per capita (current US$)","1961",
"Gabon","GDP per capita (current US$)","1961",332.500103896121
"United Kingdom","GDP per capita (current US$)","1961",1452.54470901356
"Georgia","GDP per capita (current US$)","1961",
"Ghana","GDP per capita (current US$)","1961",189.713214561876
"Gibraltar","GDP per capita (current US$)","1961",
"Guinea","GDP per capita (current US$)","1961",
"Gambia, The","GDP per capita (current US$)","1961",
"Guinea-Bissau","GDP per capita (current US$)","1961",
"Equatorial Guinea","GDP per capita (current US$)","1961",
"Greece","GDP per capita (current US$)","1961",597.287321012322
"Grenada","GDP per capita (current US$)","1961",
"Greenland","GDP per capita (current US$)","1961",
"Guatemala","GDP per capita (current US$)","1961",253.933624899884
"Guam","GDP per capita (current US$)","1961",
"Guyana","GDP per capita (current US$)","1961",319.308582080954
"High income","GDP per capita (current US$)","1961",1458.13775317664
"Hong Kong SAR, China","GDP per capita (current US$)","1961",436.754411520393
"Honduras","GDP per capita (current US$)","1961",172.153391474976
"Heavily indebted poor countries (HIPC)","GDP per capita (current US$)","1961",108.415265000278
"Croatia","GDP per capita (current US$)","1961",
"Haiti","GDP per capita (current US$)","1961",
"Hungary","GDP per capita (current US$)","1961",
"IBRD only","GDP per capita (current US$)","1961",147.215941640737
"IDA & IBRD total","GDP per capita (current US$)","1961",138.324721309767
"IDA total","GDP per capita (current US$)","1961",102.585318178755
"IDA blend","GDP per capita (current US$)","1961",100.826179778278
"Indonesia","GDP per capita (current US$)","1961",
"IDA only","GDP per capita (current US$)","1961",105.04495881205
"Isle of Man","GDP per capita (current US$)","1961",
"India","GDP per capita (current US$)","1961",87.0311661449854
"Not classified","GDP per capita (current US$)","1961",
"Ireland","GDP per capita (current US$)","1961",739.276406442666
"Iran, Islamic Rep.","GDP per capita (current US$)","1961",196.924661300342
"Iraq","GDP per capita (current US$)","1961",245.031922774986
"Iceland","GDP per capita (current US$)","1961",1418.12586971526
"Israel","GDP per capita (current US$)","1961",1436.38443935927
"Italy","GDP per capita (current US$)","1961",887.336744604475
"Jamaica","GDP per capita (current US$)","1961",452.128420931779
"Jordan","GDP per capita (current US$)","1961",
"Japan","GDP per capita (current US$)","1961",563.586759838827
"Kazakhstan","GDP per capita (current US$)","1961",
"Kenya","GDP per capita (current US$)","1961",94.8352535524693
"Kyrgyz Republic","GDP per capita (current US$)","1961",
"Cambodia","GDP per capita (current US$)","1961",109.473789894348
"Kiribati","GDP per capita (current US$)","1961",
"St. Kitts and Nevis","GDP per capita (current US$)","1961",243.836884586824
"Korea, Rep.","GDP per capita (current US$)","1961",91.4806200246359
"Kuwait","GDP per capita (current US$)","1961",
"Latin America & Caribbean (excluding high income)","GDP per capita (current US$)","1961",363.163408013129
"Lao PDR","GDP per capita (current US$)","1961",
"Lebanon","GDP per capita (current US$)","1961",
"Liberia","GDP per capita (current US$)","1961",160.644198250321
"Libya","GDP per capita (current US$)","1961",
"St. Lucia","GDP per capita (current US$)","1961",
"Latin America & Caribbean","GDP per capita (current US$)","1961",380.595022748038
"Least developed countries: UN classification","GDP per capita (current US$)","1961",
"Low income","GDP per capita (current US$)","1961",
"Liechtenstein","GDP per capita (current US$)","1961",
"Sri Lanka","GDP per capita (current US$)","1961",142.046393695165
"Lower middle income","GDP per capita (current US$)","1961",101.415013376407
"Low & middle income","GDP per capita (current US$)","1961",135.288567542717
"Lesotho","GDP per capita (current US$)","1961",41.2111542635693
"Late-demographic dividend","GDP per capita (current US$)","1961",143.267728799023
"Lithuania","GDP per capita (current US$)","1961",
"Luxembourg","GDP per capita (current US$)","1961",2222.36636636277
"Latvia","GDP per capita (current US$)","1961",
"Macao SAR, China","GDP per capita (current US$)","1961",
"St. Martin (French part)","GDP per capita (current US$)","1961",
"Morocco","GDP per capita (current US$)","1961",158.892989063181
"Monaco","GDP per capita (current US$)","1961",
"Moldova","GDP per capita (current US$)","1961",
"Madagascar","GDP per capita (current US$)","1961",133.84622350219
"Maldives","GDP per capita (current US$)","1961",
"Middle East & North Africa","GDP per capita (current US$)","1961",
"Mexico","GDP per capita (current US$)","1961",359.290934879249
"Marshall Islands","GDP per capita (current US$)","1961",
"Middle income","GDP per capita (current US$)","1961",138.74575968468
"Macedonia, FYR","GDP per capita (current US$)","1961",
"Mali","GDP per capita (current US$)","1961",
"Malta","GDP per capita (current US$)","1961",
"Myanmar","GDP per capita (current US$)","1961",
"Middle East & North Africa (excluding high income)","GDP per capita (current US$)","1961",
"Montenegro","GDP per capita (current US$)","1961",
"Mongolia","GDP per capita (current US$)","1961",
"Northern Mariana Islands","GDP per capita (current US$)","1961",
"Mozambique","GDP per capita (current US$)","1961",
"Mauritania","GDP per capita (current US$)","1961",121.969402085661
"Mauritius","GDP per capita (current US$)","1961",
"Malawi","GDP per capita (current US$)","1961",47.1834134863634
"Malaysia","GDP per capita (current US$)","1961",225.624070826858
"North America","GDP per capita (current US$)","1961",2990.76628065986
"Namibia","GDP per capita (current US$)","1961",
"New Caledonia","GDP per capita (current US$)","1961",
"Niger","GDP per capita (current US$)","1961",139.04861059634
"Nigeria","GDP per capita (current US$)","1961",96.8096703212563
"Nicaragua","GDP per capita (current US$)","1961",131.405552572428
"Netherlands","GDP per capita (current US$)","1961",1159.39235716074
"Norway","GDP per capita (current US$)","1961",1560.3249311723
"Nepal","GDP per capita (current US$)","1961",52.0755353955306
"Nauru","GDP per capita (current US$)","1961",
"New Zealand","GDP per capita (current US$)","1961",2343.29221317425
"OECD members","GDP per capita (current US$)","1961",1405.32872303699
"Oman","GDP per capita (current US$)","1961",
"Other small states","GDP per capita (current US$)","1961",
"Pakistan","GDP per capita (current US$)","1961",88.1656034398461
"Panama","GDP per capita (current US$)","1961",513.286391959351
"Peru","GDP per capita (current US$)","1961",280.15341871484
"Philippines","GDP per capita (current US$)","1961",267.147764280196
"Palau","GDP per capita (current US$)","1961",
"Papua New Guinea","GDP per capita (current US$)","1961",122.351905113472
"Poland","GDP per capita (current US$)","1961",
"Pre-demographic dividend","GDP per capita (current US$)","1961",56.0131960070111
"Puerto Rico","GDP per capita (current US$)","1961",777.215027407341
"Korea, Dem. People’s Rep.","GDP per capita (current US$)","1961",
"Portugal","GDP per capita (current US$)","1961",382.729946994368
"Paraguay","GDP per capita (current US$)","1961",
"West Bank and Gaza","GDP per capita (current US$)","1961",
"Pacific island small states","GDP per capita (current US$)","1961",
"Post-demographic dividend","GDP per capita (current US$)","1961",1442.19350966675
"French Polynesia","GDP per capita (current US$)","1961",
"Qatar","GDP per capita (current US$)","1961",
"Romania","GDP per capita (current US$)","1961",
"Russian Federation","GDP per capita (current US$)","1961",
"Rwanda","GDP per capita (current US$)","1961",40.7197298079397
"South Asia","GDP per capita (current US$)","1961",87.0515527040708
"Saudi Arabia","GDP per capita (current US$)","1961",
"Sudan","GDP per capita (current US$)","1961",131.89609338516
"Senegal","GDP per capita (current US$)","1961",256.156255424734
"Singapore","GDP per capita (current US$)","1961",448.959183778733
"Solomon Islands","GDP per capita (current US$)","1961",
"Sierra Leone","GDP per capita (current US$)","1961",148.330141524843
"El Salvador","GDP per capita (current US$)","1961",
"San Marino","GDP per capita (current US$)","1961",
"Somalia","GDP per capita (current US$)","1961",
"Serbia","GDP per capita (current US$)","1961",
"Sub-Saharan Africa (excluding high income)","GDP per capita (current US$)","1961",134.103966051767
"South Sudan","GDP per capita (current US$)","1961",
"Sub-Saharan Africa","GDP per capita (current US$)","1961",134.122096947198
"Small states","GDP per capita (current US$)","1961",
"Sao Tome and Principe","GDP per capita (current US$)","1961",
"Suriname","GDP per capita (current US$)","1961",329.990945370401
"Slovak Republic","GDP per capita (current US$)","1961",
"Slovenia","GDP per capita (current US$)","1961",
"Sweden","GDP per capita (current US$)","1961",2147.22931080409
"Swaziland","GDP per capita (current US$)","1961",120.342802669514
"Sint Maarten (Dutch part)","GDP per capita (current US$)","1961",
"Seychelles","GDP per capita (current US$)","1961",270.279660635542
"Syrian Arab Republic","GDP per capita (current US$)","1961",199.309616971656
"Turks and Caicos Islands","GDP per capita (current US$)","1961",
"Chad","GDP per capita (current US$)","1961",109.091535742234
"East Asia & Pacific (IDA & IBRD countries)","GDP per capita (current US$)","1961",79.5191810653829
"Europe & Central Asia (IDA & IBRD countries)","GDP per capita (current US$)","1961",
"Togo","GDP per capita (current US$)","1961",79.1200340194713
"Thailand","GDP per capita (current US$)","1961",107.497917180199
"Tajikistan","GDP per capita (current US$)","1961",
"Turkmenistan","GDP per capita (current US$)","1961",
"Latin America & the Caribbean (IDA & IBRD countries)","GDP per capita (current US$)","1961",374.355918592948
"Timor-Leste","GDP per capita (current US$)","1961",
"Middle East & North Africa (IDA & IBRD countries)","GDP per capita (current US$)","1961",
"Tonga","GDP per capita (current US$)","1961",
"South Asia (IDA & IBRD)","GDP per capita (current US$)","1961",87.0515527040709
"Sub-Saharan Africa (IDA & IBRD countries)","GDP per capita (current US$)","1961",134.122096947198
"Trinidad and Tobago","GDP per capita (current US$)","1961",675.977526771172
"Tunisia","GDP per capita (current US$)","1961",
"Turkey","GDP per capita (current US$)","1961",284.180790166576
"Tuvalu","GDP per capita (current US$)","1961",
"Tanzania","GDP per capita (current US$)","1961",
