LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,INCOMEINEQ,P90P10,RT,A,2008,4.2,
CAN,INCOMEINEQ,P90P10,RT,A,2009,4.3,
CAN,INCOMEINEQ,P90P10,RT,A,2010,4.1,
CAN,INCOMEINEQ,P90P10,RT,A,2011,4.2,
CAN,INCOMEINEQ,P90P10,RT,A,2012,4.3,
CAN,INCOMEINEQ,P90P10,RT,A,2013,4.4,
CAN,INCOMEINEQ,P90P50,RT,A,2006,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2007,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2008,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2009,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2010,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2011,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2012,1.9,
CAN,INCOMEINEQ,P90P50,RT,A,2013,2,
CAN,INCOMEINEQ,S90S10,RT,A,2006,8.6,
CAN,INCOMEINEQ,S90S10,RT,A,2007,8.7,
CAN,INCOMEINEQ,S90S10,RT,A,2008,8.7,
CAN,INCOMEINEQ,S90S10,RT,A,2009,8.9,
CAN,INCOMEINEQ,S90S10,RT,A,2010,8.6,
CAN,INCOMEINEQ,S90S10,RT,A,2011,8.6,
CAN,INCOMEINEQ,S90S10,RT,A,2012,9.2,
CAN,INCOMEINEQ,S90S10,RT,A,2013,9.3,
CAN,INCOMEINEQ,GINI,INEQ,A,2006,0.316,
CAN,INCOMEINEQ,GINI,INEQ,A,2007,0.318,
CAN,INCOMEINEQ,GINI,INEQ,A,2008,0.316,
CAN,INCOMEINEQ,GINI,INEQ,A,2009,0.318,
CAN,INCOMEINEQ,GINI,INEQ,A,2010,0.316,
CAN,INCOMEINEQ,GINI,INEQ,A,2011,0.314,
CAN,INCOMEINEQ,GINI,INEQ,A,2012,0.321,
CAN,INCOMEINEQ,GINI,INEQ,A,2013,0.322,
CZE,INCOMEINEQ,P50P10,RT,A,2004,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2005,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2006,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2007,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2008,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2009,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2010,1.8,
CZE,INCOMEINEQ,P50P10,RT,A,2011,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2012,1.7,
CZE,INCOMEINEQ,P50P10,RT,A,2013,1.7,
CZE,INCOMEINEQ,P90P10,RT,A,2004,3.2,
CZE,INCOMEINEQ,P90P10,RT,A,2005,3.1,
CZE,INCOMEINEQ,P90P10,RT,A,2006,3.1,
CZE,INCOMEINEQ,P90P10,RT,A,2007,3,
CZE,INCOMEINEQ,P90P10,RT,A,2008,2.9,
CZE,INCOMEINEQ,P90P10,RT,A,2009,3,
CZE,INCOMEINEQ,P90P10,RT,A,2010,3.1,
CZE,INCOMEINEQ,P90P10,RT,A,2011,3.1,
CZE,INCOMEINEQ,P90P10,RT,A,2012,3,
CZE,INCOMEINEQ,P90P10,RT,A,2013,3.1,
CZE,INCOMEINEQ,P90P50,RT,A,2004,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2005,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2006,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2007,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2008,1.7,
CZE,INCOMEINEQ,P90P50,RT,A,2009,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2010,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2011,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2012,1.8,
CZE,INCOMEINEQ,P90P50,RT,A,2013,1.8,
CZE,INCOMEINEQ,S90S10,RT,A,2004,5.7,
CZE,INCOMEINEQ,S90S10,RT,A,2005,5.4,
CZE,INCOMEINEQ,S90S10,RT,A,2006,5.4,
CZE,INCOMEINEQ,S90S10,RT,A,2007,5.3,
CZE,INCOMEINEQ,S90S10,RT,A,2008,5.5,
CZE,INCOMEINEQ,S90S10,RT,A,2009,5.5,
CZE,INCOMEINEQ,S90S10,RT,A,2010,5.7,
CZE,INCOMEINEQ,S90S10,RT,A,2011,5.5,
CZE,INCOMEINEQ,S90S10,RT,A,2012,5.4,
CZE,INCOMEINEQ,S90S10,RT,A,2013,5.6,
CZE,INCOMEINEQ,GINI,INEQ,A,2004,0.268,
CZE,INCOMEINEQ,GINI,INEQ,A,2005,0.261,
CZE,INCOMEINEQ,GINI,INEQ,A,2006,0.261,
CZE,INCOMEINEQ,GINI,INEQ,A,2007,0.257,
CZE,INCOMEINEQ,GINI,INEQ,A,2008,0.26,
CZE,INCOMEINEQ,GINI,INEQ,A,2009,0.258,
CZE,INCOMEINEQ,GINI,INEQ,A,2010,0.262,
CZE,INCOMEINEQ,GINI,INEQ,A,2011,0.259,
CZE,INCOMEINEQ,GINI,INEQ,A,2012,0.256,
CZE,INCOMEINEQ,GINI,INEQ,A,2013,0.262,
DNK,INCOMEINEQ,P50P10,RT,A,2011,1.8,
DNK,INCOMEINEQ,P50P10,RT,A,2012,1.7,
DNK,INCOMEINEQ,P50P10,RT,A,2013,1.7,
DNK,INCOMEINEQ,P90P10,RT,A,2011,2.9,
DNK,INCOMEINEQ,P90P10,RT,A,2012,2.8,
DNK,INCOMEINEQ,P90P10,RT,A,2013,2.9,
DNK,INCOMEINEQ,P90P50,RT,A,2011,1.6,
DNK,INCOMEINEQ,P90P50,RT,A,2012,1.6,
DNK,INCOMEINEQ,P90P50,RT,A,2013,1.6,
DNK,INCOMEINEQ,S90S10,RT,A,2011,5.2,
DNK,INCOMEINEQ,S90S10,RT,A,2012,5.2,
DNK,INCOMEINEQ,S90S10,RT,A,2013,5.3,
DNK,INCOMEINEQ,GINI,INEQ,A,2011,0.251,
DNK,INCOMEINEQ,GINI,INEQ,A,2012,0.249,
DNK,INCOMEINEQ,GINI,INEQ,A,2013,0.254,
FIN,INCOMEINEQ,P50P10,RT,A,1987,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1988,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1989,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1990,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1991,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1992,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1993,1.6,
FIN,INCOMEINEQ,P50P10,RT,A,1994,1.6,
FIN,INCOMEINEQ,P50P10,RT,A,1995,1.6,
FIN,INCOMEINEQ,P50P10,RT,A,1996,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1997,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1998,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,1999,1.7,
FIN,INCOMEINEQ,P50P10,RT,A,2000,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2001,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2002,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2003,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2004,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2005,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2006,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2007,1.9,
FIN,INCOMEINEQ,P50P10,RT,A,2008,1.9,
FIN,INCOMEINEQ,P50P10,RT,A,2009,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2010,1.9,
FIN,INCOMEINEQ,P50P10,RT,A,2011,1.9,
FIN,INCOMEINEQ,P50P10,RT,A,2012,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2013,1.8,
FIN,INCOMEINEQ,P50P10,RT,A,2014,1.8,
FIN,INCOMEINEQ,P90P10,RT,A,1987,2.6,
FIN,INCOMEINEQ,P90P10,RT,A,1988,2.7,
FIN,INCOMEINEQ,P90P10,RT,A,1989,2.7,
FIN,INCOMEINEQ,P90P10,RT,A,1990,2.7,
FIN,INCOMEINEQ,P90P10,RT,A,1991,2.6,
FIN,INCOMEINEQ,P90P10,RT,A,1992,2.6,
FIN,INCOMEINEQ,P90P10,RT,A,1993,2.6,
FIN,INCOMEINEQ,P90P10,RT,A,1994,2.6,
FIN,INCOMEINEQ,P90P10,RT,A,1995,2.6,
FIN,INCOMEINEQ,P90P10,RT,A,1996,2.7,
FIN,INCOMEINEQ,P90P10,RT,A,1997,2.8,
FIN,INCOMEINEQ,P90P10,RT,A,1998,2.8,
FIN,INCOMEINEQ,P90P10,RT,A,1999,2.8,
FIN,INCOMEINEQ,P90P10,RT,A,2000,2.9,
FIN,INCOMEINEQ,P90P10,RT,A,2001,3,
FIN,INCOMEINEQ,P90P10,RT,A,2002,3,
FIN,INCOMEINEQ,P90P10,RT,A,2003,3,
FIN,INCOMEINEQ,P90P10,RT,A,2004,3.1,
FIN,INCOMEINEQ,P90P10,RT,A,2005,3.1,
FIN,INCOMEINEQ,P90P10,RT,A,2006,3.1,
FIN,INCOMEINEQ,P90P10,RT,A,2007,3.2,
FIN,INCOMEINEQ,P90P10,RT,A,2008,3.2,
FIN,INCOMEINEQ,P90P10,RT,A,2009,3.1,
FIN,INCOMEINEQ,P90P10,RT,A,2010,3.2,
FIN,INCOMEINEQ,P90P10,RT,A,2011,3.2,
FIN,INCOMEINEQ,P90P10,RT,A,2012,3.1,
FIN,INCOMEINEQ,P90P10,RT,A,2013,3.2,
FIN,INCOMEINEQ,P90P10,RT,A,2014,3.1,
FIN,INCOMEINEQ,P90P50,RT,A,1987,1.5,
FIN,INCOMEINEQ,P90P50,RT,A,1988,1.5,
FIN,INCOMEINEQ,P90P50,RT,A,1989,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1990,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1991,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1992,1.5,
FIN,INCOMEINEQ,P90P50,RT,A,1993,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1994,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1995,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1996,1.6,
FIN,INCOMEINEQ,P90P50,RT,A,1997,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,1998,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,1999,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2000,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2001,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2002,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2003,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2004,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2005,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2006,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2007,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2008,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2009,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2010,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2011,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2012,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2013,1.7,
FIN,INCOMEINEQ,P90P50,RT,A,2014,1.7,
FIN,INCOMEINEQ,S90S10,RT,A,1987,4.1,
FIN,INCOMEINEQ,S90S10,RT,A,1988,4.2,
FIN,INCOMEINEQ,S90S10,RT,A,1989,4.2,
FIN,INCOMEINEQ,S90S10,RT,A,1990,4.2,
FIN,INCOMEINEQ,S90S10,RT,A,1991,4.2,
FIN,INCOMEINEQ,S90S10,RT,A,1992,4.1,
FIN,INCOMEINEQ,S90S10,RT,A,1993,4.1,
FIN,INCOMEINEQ,S90S10,RT,A,1994,4.1,
FIN,INCOMEINEQ,S90S10,RT,A,1995,4.2,
FIN,INCOMEINEQ,S90S10,RT,A,1996,4.3,
FIN,INCOMEINEQ,S90S10,RT,A,1997,4.6,
FIN,INCOMEINEQ,S90S10,RT,A,1998,4.9,
FIN,INCOMEINEQ,S90S10,RT,A,1999,5.1,
FIN,INCOMEINEQ,S90S10,RT,A,2000,5.2,
FIN,INCOMEINEQ,S90S10,RT,A,2001,5.5,
FIN,INCOMEINEQ,S90S10,RT,A,2002,5.4,
FIN,INCOMEINEQ,S90S10,RT,A,2003,5.4,
FIN,INCOMEINEQ,S90S10,RT,A,2004,5.6,
FIN,INCOMEINEQ,S90S10,RT,A,2005,5.6,
FIN,INCOMEINEQ,S90S10,RT,A,2006,5.7,
FIN,INCOMEINEQ,S90S10,RT,A,2007,5.8,
FIN,INCOMEINEQ,S90S10,RT,A,2008,5.7,
FIN,INCOMEINEQ,S90S10,RT,A,2009,5.5,
FIN,INCOMEINEQ,S90S10,RT,A,2010,5.6,
FIN,INCOMEINEQ,S90S10,RT,A,2011,5.6,
FIN,INCOMEINEQ,S90S10,RT,A,2012,5.4,
FIN,INCOMEINEQ,S90S10,RT,A,2013,5.5,
FIN,INCOMEINEQ,S90S10,RT,A,2014,5.3,
FIN,INCOMEINEQ,GINI,INEQ,A,1987,0.209,
FIN,INCOMEINEQ,GINI,INEQ,A,1988,0.213,
FIN,INCOMEINEQ,GINI,INEQ,A,1989,0.217,
FIN,INCOMEINEQ,GINI,INEQ,A,1990,0.215,
FIN,INCOMEINEQ,GINI,INEQ,A,1991,0.212,
FIN,INCOMEINEQ,GINI,INEQ,A,1992,0.211,
FIN,INCOMEINEQ,GINI,INEQ,A,1993,0.214,
FIN,INCOMEINEQ,GINI,INEQ,A,1994,0.215,
FIN,INCOMEINEQ,GINI,INEQ,A,1995,0.22,
FIN,INCOMEINEQ,GINI,INEQ,A,1996,0.224,
FIN,INCOMEINEQ,GINI,INEQ,A,1997,0.235,
FIN,INCOMEINEQ,GINI,INEQ,A,1998,0.243,
FIN,INCOMEINEQ,GINI,INEQ,A,1999,0.25,
FIN,INCOMEINEQ,GINI,INEQ,A,2000,0.254,
FIN,INCOMEINEQ,GINI,INEQ,A,2001,0.262,
FIN,INCOMEINEQ,GINI,INEQ,A,2002,0.258,
FIN,INCOMEINEQ,GINI,INEQ,A,2003,0.261,
FIN,INCOMEINEQ,GINI,INEQ,A,2004,0.266,
FIN,INCOMEINEQ,GINI,INEQ,A,2005,0.265,
FIN,INCOMEINEQ,GINI,INEQ,A,2006,0.268,
FIN,INCOMEINEQ,GINI,INEQ,A,2007,0.269,
FIN,INCOMEINEQ,GINI,INEQ,A,2008,0.264,
FIN,INCOMEINEQ,GINI,INEQ,A,2009,0.259,
FIN,INCOMEINEQ,GINI,INEQ,A,2010,0.264,
FIN,INCOMEINEQ,GINI,INEQ,A,2011,0.264,
FIN,INCOMEINEQ,GINI,INEQ,A,2012,0.26,
FIN,INCOMEINEQ,GINI,INEQ,A,2013,0.262,
FIN,INCOMEINEQ,GINI,INEQ,A,2014,0.257,
FRA,INCOMEINEQ,P50P10,RT,A,2012,1.9,
FRA,INCOMEINEQ,P50P10,RT,A,2013,1.9,
FRA,INCOMEINEQ,P90P10,RT,A,2012,3.6,
FRA,INCOMEINEQ,P90P10,RT,A,2013,3.5,
FRA,INCOMEINEQ,P90P50,RT,A,2012,1.9,
FRA,INCOMEINEQ,P90P50,RT,A,2013,1.9,
FRA,INCOMEINEQ,S90S10,RT,A,2012,7.7,
FRA,INCOMEINEQ,S90S10,RT,A,2013,6.9,
FRA,INCOMEINEQ,GINI,INEQ,A,2012,0.308,
FRA,INCOMEINEQ,GINI,INEQ,A,2013,0.294,
DEU,INCOMEINEQ,P50P10,RT,A,2008,1.9,
DEU,INCOMEINEQ,P50P10,RT,A,2011,1.9,
DEU,INCOMEINEQ,P50P10,RT,A,2012,1.9,
DEU,INCOMEINEQ,P50P10,RT,A,2013,1.9,
DEU,INCOMEINEQ,P90P10,RT,A,2008,3.5,
DEU,INCOMEINEQ,P90P10,RT,A,2011,3.5,
DEU,INCOMEINEQ,P90P10,RT,A,2012,3.5,
DEU,INCOMEINEQ,P90P10,RT,A,2013,3.6,
DEU,INCOMEINEQ,P90P50,RT,A,2008,1.8,
DEU,INCOMEINEQ,P90P50,RT,A,2011,1.9,
DEU,INCOMEINEQ,P90P50,RT,A,2012,1.9,
DEU,INCOMEINEQ,P90P50,RT,A,2013,1.9,
DEU,INCOMEINEQ,S90S10,RT,A,2008,6.7,
DEU,INCOMEINEQ,S90S10,RT,A,2011,6.8,
DEU,INCOMEINEQ,S90S10,RT,A,2012,6.6,
DEU,INCOMEINEQ,S90S10,RT,A,2013,6.8,
DEU,INCOMEINEQ,GINI,INEQ,A,2008,0.285,
DEU,INCOMEINEQ,GINI,INEQ,A,2011,0.291,
DEU,INCOMEINEQ,GINI,INEQ,A,2012,0.289,
DEU,INCOMEINEQ,GINI,INEQ,A,2013,0.292,
GRC,INCOMEINEQ,P50P10,RT,A,2004,2.2,
GRC,INCOMEINEQ,P50P10,RT,A,2005,2.2,
GRC,INCOMEINEQ,P50P10,RT,A,2006,2.2,
GRC,INCOMEINEQ,P50P10,RT,A,2007,2.2,
GRC,INCOMEINEQ,P50P10,RT,A,2008,2.2,
GRC,INCOMEINEQ,P50P10,RT,A,2009,2.2,
GRC,INCOMEINEQ,P50P10,RT,A,2010,2.3,
GRC,INCOMEINEQ,P50P10,RT,A,2011,2.5,
GRC,INCOMEINEQ,P50P10,RT,A,2012,2.5,
GRC,INCOMEINEQ,P50P10,RT,A,2013,2.5,
GRC,INCOMEINEQ,P90P10,RT,A,2004,4.5,
GRC,INCOMEINEQ,P90P10,RT,A,2005,4.8,
GRC,INCOMEINEQ,P90P10,RT,A,2006,4.6,
GRC,INCOMEINEQ,P90P10,RT,A,2007,4.4,
GRC,INCOMEINEQ,P90P10,RT,A,2008,4.4,
GRC,INCOMEINEQ,P90P10,RT,A,2009,4.3,
GRC,INCOMEINEQ,P90P10,RT,A,2010,4.6,
GRC,INCOMEINEQ,P90P10,RT,A,2011,4.8,
GRC,INCOMEINEQ,P90P10,RT,A,2012,4.9,
GRC,INCOMEINEQ,P90P10,RT,A,2013,5.1,
GRC,INCOMEINEQ,P90P50,RT,A,2004,2.1,
GRC,INCOMEINEQ,P90P50,RT,A,2005,2.1,
GRC,INCOMEINEQ,P90P50,RT,A,2006,2.1,
GRC,INCOMEINEQ,P90P50,RT,A,2007,2,
GRC,INCOMEINEQ,P90P50,RT,A,2008,2,
GRC,INCOMEINEQ,P90P50,RT,A,2009,2,
GRC,INCOMEINEQ,P90P50,RT,A,2010,2,
GRC,INCOMEINEQ,P90P50,RT,A,2011,2,
GRC,INCOMEINEQ,P90P50,RT,A,2012,1.9,
GRC,INCOMEINEQ,P90P50,RT,A,2013,2.1,
GRC,INCOMEINEQ,S90S10,RT,A,2004,9.6,
GRC,INCOMEINEQ,S90S10,RT,A,2005,10,
GRC,INCOMEINEQ,S90S10,RT,A,2006,10.1,
GRC,INCOMEINEQ,S90S10,RT,A,2007,9.6,
GRC,INCOMEINEQ,S90S10,RT,A,2008,9.4,
GRC,INCOMEINEQ,S90S10,RT,A,2009,9.6,
GRC,INCOMEINEQ,S90S10,RT,A,2010,10.8,
GRC,INCOMEINEQ,S90S10,RT,A,2011,12.2,
GRC,INCOMEINEQ,S90S10,RT,A,2012,12.2,
GRC,INCOMEINEQ,S90S10,RT,A,2013,11.4,
GRC,INCOMEINEQ,GINI,INEQ,A,2004,0.333,
GRC,INCOMEINEQ,GINI,INEQ,A,2005,0.346,
GRC,INCOMEINEQ,GINI,INEQ,A,2006,0.339,
GRC,INCOMEINEQ,GINI,INEQ,A,2007,0.33,
GRC,INCOMEINEQ,GINI,INEQ,A,2008,0.329,
GRC,INCOMEINEQ,GINI,INEQ,A,2009,0.331,
GRC,INCOMEINEQ,GINI,INEQ,A,2010,0.337,
GRC,INCOMEINEQ,GINI,INEQ,A,2011,0.335,
